LSTM
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
[48, 0.5558820833333333, 1.0520797215872506, 0.5474, 1.0699629220962525]
[49, 0.5563341666666667, 1.051444630200118, 0.548055, 1.0677951968892416]
BoW
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
[0, 0.43940375, 1.301564880648752, 0.4951816666666667, 1.1852200446955363]
[1, 0.50058375, 1.1712798586332798, 0.5080816666666667, 1.1542083623377482]
[2, 0.5150066666666666, 1.140607885492146, 0.525065, 1.1194060367202758]
LSTM
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
[0, 0.5233908333333334, 1.0777978636943053, 0.58679, 0.9500497691408794]
[1, 0.6081504166666667, 0.9031744921753555, 0.60838, 0.9021204382705689]
[2, 0.6297070833333334, 0.8576662131771694, 0.6127383333333334, 0.8946176122792562]
RNN
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
[0, 0.28541083333333334, 1.5312222681417564, 0.3019516666666667, 1.4741268614323935]
[1, 0.30182041666666665, 1.5040065048692126, 0.29356333333333334, 1.5144632978693644]
[2, 0.3189108333333333, 1.4700628671364984, 0.30403833333333335, 1.5046815768178303]
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
[0, 0.5131216666666667, 1.0957659648014109, 0.5837883333333334, 0.9551261577033997]
[0, 0.43940958333333335, 1.3015487559084098, 0.49518833333333334, 1.185261569073995]
[0, 0.2837254166666667, 1.5329488162926337, 0.327415, 1.4644345592371624]
[1, 0.6042679166666667, 0.9117696265405665, 0.6040633333333333, 0.9111137466812134]
[1, 0.5005754166666667, 1.1712710784258942, 0.5078666666666667, 1.154964963607788]
[1, 0.3318829166666667, 1.445530680487752, 0.36705666666666664, 1.3821927676518757]
[2, 0.5150395833333333, 1.140596781973044, 0.5250116666666667, 1.1197182530593872]
[2, 0.6265979166666666, 0.8651645038688183, 0.60953, 0.9017788946787516]
[2, 0.3320808333333333, 1.44627918682908, 0.33085333333333333, 1.4581249886703491]
